Questions,type
There is lot of pressure of studies from school/college/university,work stress
I am not feeling good as I missed my few assisgments ,frequently missed assisment
"I used to be good student, but in last exam ,I perform very bad .",significant jump in grades
I am not feeling great as I missed my few assisgments,frequently missed assisment
"I used to be great understudy, however in last test ,I perform exceptionally awful .",significant jump in grades
"There is lot of pressure of work from office, i dont think I am able to complete all of the work",work stress
There is parcel of weight of concentrates from school/school/college,work stress
"There is part of weight of work from office, I dont think I am ready to finish the majority of the work",work stress
I am not feeling good as I missed my few assisgments,frequently missed assisment
In school am not able to perform well in few subjects in past exams.,significant jump in grades
